Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance OG,Performance Recov,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Expected xA,Expected A-xAG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,SCA SCA,SCA SCA90,SCA Types PassLive,SCA Types PassDead,SCA Types TO,SCA Types Sh,SCA Types Fld,SCA Types Def,GCA GCA,GCA GCA90,GCA Types PassLive,GCA Types PassDead,GCA Types TO,GCA Types Sh,GCA Types Fld,GCA Types Def,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,KP,1/3,PPA,CrsPA,PrgP
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24,2000,19,12,1168,13.0,0,1,1,0,0,0,1,0,0,11,26,2,12,6,0,74,0.0,0.0,0.8,0.9,0.9,0.2,0.02,0.0,0.0,22,42,25,0.0,0.08,0.08,0.0,0.08,0.0,0.06,0.07,0.0,0.07,13.0,29,19,20,7,2,20,32,62.5,12,9,5,4,6,35,25,0,0,2,0,0.0,0.15,0.0,0.0,0.0,23.9,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,21,1.62,16,2,0,0,3,0,2,0.15,2,0,0,0,0,0,5,10,33.3,429,557,77.0,7082,2636,7,24,13,2,42
2,Brenden Aaronson,us USA,"MF,FW",Union Berlin,de Bundesliga,24,2000,28,12,1135,12.6,2,1,3,2,0,0,3,1,1,11,20,5,19,2,0,81,1.9,1.9,1.6,3.5,1.8,-0.6,0.12,0.1,0.1,29,46,77,0.16,0.08,0.24,0.16,0.24,0.15,0.13,0.28,0.15,0.28,12.6,29,17,11,12,6,15,30,50.0,15,25,0,25,2,31,4,0,2,16,7,43.8,1.27,0.56,0.13,0.29,18.1,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,45,3.57,36,1,5,3,0,0,6,0.48,5,0,1,0,0,0,12,16,42.9,328,425,77.2,4344,1281,18,27,11,2,46
3,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,21,2003,7,1,101,1.1,0,1,1,0,0,0,0,0,0,6,4,0,0,0,0,5,0.1,0.1,0.1,0.2,0.1,0.9,0.06,-0.1,-0.1,2,5,7,0.0,0.89,0.89,0.0,0.89,0.11,0.07,0.19,0.11,0.19,1.1,2,2,1,1,0,1,1,100.0,0,2,0,2,0,2,0,0,0,2,2,100.0,1.78,1.78,0.0,0.0,15.1,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,1,0.89,1,0,0,0,0,0,1,0.89,1,0,0,0,0,0,3,0,100.0,41,50,82.0,576,71,1,4,2,0,5
4,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18,2006,1,0,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,1,1,100.0,8,0,0,0,0,0,0
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,37,1987,29,29,2601,28.9,3,0,3,3,0,0,5,0,0,26,12,0,3,37,1,145,2.6,2.6,0.3,2.9,0.6,-0.3,0.13,0.4,0.4,36,133,9,0.1,0.0,0.1,0.1,0.1,0.09,0.01,0.1,0.09,0.1,28.9,59,33,31,23,5,25,44,56.8,19,46,27,19,37,96,101,1,3,21,7,33.3,0.73,0.24,0.14,0.43,14.3,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,24,0.83,19,1,0,3,1,0,1,0.03,0,0,0,1,0,0,59,34,63.4,1489,1761,84.6,28358,9223,8,125,3,0,133
6,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,24,2000,26,17,1511,16.8,0,0,0,0,0,0,2,0,0,33,16,0,3,12,0,88,0.8,0.8,0.5,1.3,1.1,-0.5,0.17,-0.8,-0.8,9,77,20,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,16.8,21,14,8,10,3,8,18,44.4,10,12,1,11,12,33,18,0,0,5,0,0.0,0.3,0.0,0.0,0.0,21.6,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,27,1.61,27,0,0,0,0,0,3,0.18,3,0,0,0,0,0,2,7,22.2,791,887,89.2,12414,2993,6,87,5,2,77
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,31,1993,31,30,2680,29.8,1,1,2,1,0,0,3,0,0,31,36,1,30,54,0,210,1.0,1.0,2.1,3.1,1.9,-1.1,0.04,0.0,0.0,35,180,48,0.03,0.03,0.07,0.03,0.07,0.03,0.07,0.1,0.03,0.1,29.8,74,44,38,29,7,32,87,36.8,55,27,6,21,54,128,59,3,1,22,9,40.9,0.74,0.3,0.05,0.11,26.3,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,70,2.35,57,2,2,1,2,6,5,0.17,3,0,1,0,0,1,13,13,50.0,1470,1736,84.7,25840,8003,27,178,23,3,180
8,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21,2003,20,10,893,9.9,4,0,4,4,0,0,1,0,0,9,13,4,6,2,0,34,3.6,3.6,2.0,5.6,0.7,-2.0,0.1,0.4,0.4,25,17,77,0.4,0.0,0.4,0.4,0.4,0.36,0.2,0.56,0.36,0.56,9.9,6,3,2,3,1,1,6,16.7,5,2,0,2,2,8,5,0,4,37,16,43.2,3.73,1.61,0.11,0.25,17.1,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,35,3.53,27,0,5,2,1,0,2,0.2,0,0,1,0,1,0,15,27,35.7,142,200,71.0,2066,386,17,4,6,2,17
9,Abner,br BRA,DF,Betis,es La Liga,24,2000,21,14,1303,14.5,0,0,0,0,0,0,3,0,0,15,2,1,25,15,0,73,0.1,0.1,0.6,0.7,1.0,-0.6,0.03,-0.1,-0.1,14,31,57,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,14.5,24,19,14,9,1,17,33,51.5,16,22,5,17,15,39,58,0,0,4,0,0.0,0.28,0.0,0.0,0.0,15.4,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,14,0.97,13,0,0,1,0,0,0,0.0,0,0,0,0,0,0,13,10,56.5,575,744,77.3,8605,4134,7,18,7,2,31
10,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24,2000,12,8,691,7.7,3,0,3,2,1,1,2,0,0,15,15,8,4,1,0,19,2.6,1.8,0.2,2.0,1.0,-0.2,0.08,0.4,0.2,19,16,71,0.39,0.0,0.39,0.26,0.26,0.34,0.03,0.37,0.24,0.26,7.7,5,4,1,1,3,1,10,10.0,9,7,1,6,1,6,2,0,3,22,6,27.3,2.87,0.78,0.09,0.33,17.9,0,1,1,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,17,2.21,9,0,1,3,3,1,2,0.26,0,0,0,1,1,0,6,7,46.2,126,179,70.4,1839,537,5,10,6,1,16
