Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time MP,Playing Time Starts,Playing Time Min,90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Matches
1,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,23-137,2000,1,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
2,Alisson,br BRA,GK,Liverpool,eng Premier League,31-222,1992,26,26,2340,26.0,27,1.04,102,76,74.5,15,7,4,7,26.9,1,1,0,0,0.0,Matches
3,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,31-074,1993,29,29,2519,28.0,49,1.75,175,127,74.9,10,9,10,4,13.8,7,5,2,0,28.6,Matches
4,Kepa Arrizabalaga,es ESP,GK,Real Madrid,es La Liga,29-221,1994,13,13,1170,13.0,9,0.69,37,29,75.7,10,2,1,7,53.8,0,0,0,0,,Matches
5,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,21-352,2002,32,32,2880,32.0,55,1.72,150,96,65.3,11,8,13,10,31.3,3,3,0,0,0.0,Matches
6,Emil Audero,it ITA,GK,Inter,it Serie A,27-114,1997,3,3,270,3.0,1,0.33,7,6,85.7,2,0,1,2,66.7,0,0,0,0,,Matches
7,Francisco Barbosa,es ESP,GK,Betis,es La Liga,25-004,1999,3,2,225,2.5,4,1.6,14,10,71.4,1,1,0,1,50.0,0,0,0,0,,Matches
8,Augusto Batalla,ar ARG,GK,Granada,es La Liga,28-011,1996,16,16,1440,16.0,24,1.5,79,55,69.6,3,4,9,3,18.8,0,0,0,0,,Matches
9,Daniel Batz,de GER,GK,Mainz 05,de Bundesliga,33-120,1991,4,4,360,4.0,3,0.75,17,14,82.4,0,2,2,1,25.0,0,0,0,0,,Matches
10,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,33-344,1990,32,32,2880,32.0,64,2.0,207,141,70.0,11,7,14,1,3.1,5,2,3,0,60.0,Matches
11,Alaa Bellaarouch,ma MAR,GK,Strasbourg,fr Ligue 1,22-131,2002,13,13,1170,13.0,23,1.77,55,32,61.8,3,2,8,2,15.4,3,2,1,0,33.3,Matches
12,Daniel Bentley,eng ENG,GK,Wolves,eng Premier League,30-303,1993,4,2,293,3.3,4,1.23,12,8,66.7,1,0,1,1,50.0,0,0,0,0,,Matches
13,Etrit Berisha,al ALB,GK,Empoli,it Serie A,35-062,1989,14,14,1260,14.0,25,1.79,74,49,68.9,3,3,8,4,28.6,3,2,1,0,33.3,Matches
14,Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,25-340,1998,2,2,180,2.0,7,3.5,14,7,50.0,1,0,1,0,0.0,0,0,0,0,,Matches
15,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,33-062,1991,31,31,2786,31.0,34,1.1,127,92,74.8,14,10,7,12,38.7,3,2,1,0,33.3,Matches
16,Rubén Blanco,es ESP,GK,Marseille,fr Ligue 1,28-291,1995,2,1,121,1.3,2,1.49,6,4,66.7,0,0,1,0,0.0,0,0,0,0,,Matches
17,Janis Blaswich,de GER,GK,RB Leipzig,de Bundesliga,33-009,1991,20,20,1800,20.0,28,1.4,70,42,64.3,10,3,7,5,25.0,3,3,0,0,0.0,Matches
