Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24-128,2000.0,13.0,429.0,557.0,77.0,7082.0,2636.0,207.0,235.0,88.1,181.0,228.0,79.4,33.0,61.0,54.1,1,0.8,0.9,0.2,7.0,24.0,13.0,2.0,42.0,Matches
2,Brenden Aaronson,us USA,"MF,FW",Union Berlin,de Bundesliga,23-202,2000.0,12.6,328.0,425.0,77.2,4344.0,1281.0,188.0,219.0,85.8,92.0,114.0,80.7,16.0,29.0,55.2,1,1.6,1.8,-0.6,18.0,27.0,11.0,2.0,46.0,Matches
3,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,20-259,2003.0,1.1,41.0,50.0,82.0,576.0,71.0,20.0,25.0,80.0,20.0,22.0,90.9,0.0,2.0,0.0,1,0.1,0.1,0.9,1.0,4.0,2.0,0.0,5.0,Matches
4,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18-036,2006.0,0.0,1.0,1.0,100.0,8.0,0.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,36-226,1987.0,28.9,1489.0,1761.0,84.6,28358.0,9223.0,469.0,530.0,88.5,858.0,940.0,91.3,131.0,233.0,56.2,0,0.3,0.6,-0.3,8.0,125.0,3.0,0.0,133.0,Matches
6,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,24-046,2000.0,16.8,791.0,887.0,89.2,12414.0,2993.0,388.0,427.0,90.9,330.0,360.0,91.7,41.0,53.0,77.4,0,0.5,1.1,-0.5,6.0,87.0,5.0,2.0,77.0,Matches
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,31-100,1993.0,29.8,1470.0,1736.0,84.7,25840.0,8003.0,601.0,675.0,89.0,676.0,761.0,88.8,137.0,214.0,64.0,1,2.1,1.9,-1.1,27.0,178.0,23.0,3.0,180.0,Matches
8,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21-044,2003.0,9.9,142.0,200.0,71.0,2066.0,386.0,80.0,109.0,73.4,46.0,61.0,75.4,7.0,9.0,77.8,0,2.0,0.7,-2.0,17.0,4.0,6.0,2.0,17.0,Matches
9,Abner,br BRA,DF,Betis,es La Liga,23-350,2000.0,14.5,575.0,744.0,77.3,8605.0,4134.0,329.0,370.0,88.9,188.0,245.0,76.7,35.0,74.0,47.3,0,0.6,1.0,-0.6,7.0,18.0,7.0,2.0,31.0,Matches
10,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24-083,2000.0,7.7,126.0,179.0,70.4,1839.0,537.0,62.0,85.0,72.9,48.0,61.0,78.7,6.0,8.0,75.0,0,0.2,1.0,-0.2,5.0,10.0,6.0,1.0,16.0,Matches
11,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25-062,1999.0,23.2,522.0,715.0,73.0,11751.0,4693.0,134.0,157.0,85.4,282.0,316.0,89.2,97.0,211.0,46.0,0,0.1,0.2,-0.1,2.0,59.0,2.0,0.0,48.0,Matches
12,Tammy Abraham,eng ENG,FW,Roma,it Serie A,26-222,1997.0,1.4,7.0,17.0,41.2,90.0,32.0,4.0,8.0,50.0,2.0,6.0,33.3,0.0,1.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,Matches
13,Francesco Acerbi,it ITA,DF,Inter,it Serie A,36-091,1988.0,24.5,1483.0,1640.0,90.4,26983.0,8521.0,553.0,597.0,92.6,781.0,831.0,94.0,124.0,170.0,72.9,1,1.7,1.2,-0.7,6.0,54.0,3.0,1.0,79.0,Matches
14,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18-006,2006.0,0.1,,,,,,,,,,,,,,,0,,,,,,,,,Matches
